id,Client,Title,Body,Capstone Program,Faculty,Team,Capstone Course,Course Subject,Course Number,Focus Areas
2011,"FLORENCE MELTON SCHOOL OF ADULT JEWISH
LEARNING",UNGUARANTEED LOAN SECURITIES: A COMPARATIVE MARKET ANALYSIS,"The Florence Melton School of Adult Jewish Learning cultivates a
global community of empowered adult learners by making Jewish
texts and ideas accessible through in-person and online classes. The
school enlisted the Capstone team to strengthen its operational and
financial frameworks, ensuring its continued growth and relevance
in the landscape of adult Jewish education. Through comprehensive
analysis, the Capstone team identified key areas for improvement,
advocating for a transition to a fixed pricing model accompanied by a
membership program for its online learning program for international
audiences, Melton International. The team further recommended
using targeted marketing strategies tailored to different age groups
to increase engagement and outreach. Preliminary results indicated
that these strategies could expand the school's reach and participant
engagement significantly. These recommendations will bolster the
school's financial stability and operational efficacy, creating a more
inclusive, engaging, and sustainable learning environment that aligns
with its core values of accessibility, openness, and community.",FIN,"Michael Dardia
Chris Good","Jiayu Chen
Yuying Li
Elizabeth Maysonet
Lamba Najib
Alan Shabatay
Chunyi Wang",Finance,CAP-GP,3402,Education
2012,GUIDEHOUSE,"EVALUATION OF THE SMALL BUSINESS ADMINISTRATION’S LOAN-
MATCHING SOFTWARE","Guidehouse, a global consulting firm for public sector and
commercial clients, engaged the Capstone team to optimize the
Small Business Administration’s (SBA’s) LenderMatch application
process. LenderMatch is an online tool that connects small businesses
seeking financing with potential lenders participating in SBA
loan programs. The team used qualitative research methods, such
as marketing analysis and in-depth interviews with lenders and
competitors, to create a comparative metric system that categorized
insights, including proposed expansions to enhance efficiency,
improve response rates, and attract qualified borrowers. The team
made recommendations for platform enhancement based on user
experiences, competitor analysis, and automated data accumulation
and analysis techniques. The recommendations aim to expand the
software’s future customer base and the matching system’s efficiency,
and enhance trend identification techniques to ensure the program
aligns with customer needs while delivering higher-quality matches",FIN,"Michael Dardia
Chris Good","Congling Chen
Robyn Ge
Lily Greenway
Shelly Li
Katherine Wang
Xinyi Yu",Finance,CAP-GP,3402,Philanthropy and Fundraising
2013,"NEW YORK CITY MANUFACTURING AND
INDUSTRIAL INNOVATION COUNCIL","ASSESSING SUPPLY CHAIN RISKS AND OPPORTUNITIES FOR THE NEW
YORK CITY DEPARTMENT OF SANITATION","The New York City Manufacturing and Industrial Innovation
Council (MaiiC) is a program within the Mayor’s Office of Talent
& Workforce Development that partners with the City’s trade
sectors. As the City’s real estate landscape shifts away from
industrial development, the NYC Department of Sanitation's
(DSNY’s) critical service vendors are being pushed outside of the
five boroughs, constraining DSNY’s ability to audit downstream
vendor operations, invest in sustainable practices, and preserve
local employment. MaiiC engaged the Capstone team to review
vulnerabilities across DSNY’s direct vendor contracts. Through
market research, data visualization, vendor analysis, and stakeholder
interviews, the team recommended several focus areas, including
a) increasing operational and financial reporting requirements
for vendors, b) standardizing vendor performance scorecards, c)
disclosing purchases of goods through the Department of Citywide
Administrative Services (DCAS), and d) introducing vendor
sustainability goals.",FIN,"Michael Dardia
Chris Good","Clayton Elder
Zehong Huang
Xueyi Liu
Thaachharawadei
Prak
Tiantian Wu
Xiaoru Zhan",Finance,CAP-GP,3402,"Nonprofits and Government, Cities"
2014,TOWNSPEOPLE,DEVELOPING A PLAN FOR LONG-TERM FINANCIAL SUSTAINABILITY,"Townspeople is a San Diego-based supportive housing developer
and service provider that works with community members
experiencing homelessness and living with HIV/AIDS. The
organization has been able to provide housing and programming
to its clients despite reporting a net asset deficit for over a
decade, which presents a threat to its long-term financial health.
Townspeople enlisted the Capstone team to understand the drivers
of the deficit and develop a plan to reduce it. The team completed
an in-depth historical financial analysis of the organization
and conducted interviews with key staff and Board members,
culminating in a report to Townspeople's leadership recommending
an expanded fundraising effort and the introduction of long-term
financial planning. The team produced a multi-year financial model
that the organization can use to continue supporting its most
vulnerable community members for years to come.",FIN,"Michael Dardia
Chris Good","James Hargens
Zhixin Lei
Yuzi Li
Setsuna Wu
Han Zhou",Finance,CAP-GP,3402,"Nonprofits and Government, Inequality, Race, and Poverty, Social Justice and Democracy"
2015,WATERFRONT ALLIANCE,"ECONOMIC IMPACT ANALYSIS OF CLIMATE RESILIENCE AND FLOOD
DISCLOSURE LEGISLATION","The Waterfront Alliance is a nonprofit organization championing
waterfront sustainability and climate resilience in New York and
New Jersey. The nonprofit engaged the Capstone team to quantify
the financial benefits of two key pieces of climate resilience policy:
1) the NYC Climate Resiliency Design Guidelines updated in 2022,
which provide a framework for proactive flood risk management
strategies and 2) the NYS Flood Disclosure Bill enacted in 2023,
created to increase transparency in property transactions. The
Capstone team took a multifaceted approach—including a thorough
literature review, detailed financial modeling, and comprehensive
stakeholder interviews—in order to explain how these legislative
measures contribute to cost savings, avoidance of unnecessary
expenses, and stimulation of economic activity, especially for
homeowners and renters. The final report includes actionable
recommendations, delineates the quantified economic benefits of the
guidelines, and underscores the importance of such policies in future
urban planning and resilience efforts.",FIN,Gerry Ring,"Karl Clayter
Camila Fernandez
Sanchez
Mingzhi Li
Xinran Shen
Xin Zhang",Finance,CAP-GP,3402,"Cities, Environment, Climate Change, and Sustainability"
2016,CORRECTIONAL ASSOCIATION OF NEW YORK,IMPROVING NUTRITION AND FOOD SERVICE IN NEW YORK STATE PRISONS,"The Correctional Association of New York (CANY) is an independent
oversight organization dedicated to monitoring New York State’s
correctional facilities, identifying issues, and advocating for
improvements in prison conditions and treatment of incarcerated
individuals. Having identified the pressing concern of inadequate
access to sufficient, safe, and nutritious food, CANY engaged the
Capstone team to a) review the literature on best practices for
enhancing nutrition in carceral settings, b) assess the political
landscape for policy change, c) conduct a qualitative and quantitative
analysis of CANY’s interviews with incarcerated individuals, and d)
conduct a menu analysis. The team’s research found that food provision
in prison is closely related to health outcomes for incarcerated
individuals and therefore has important health equity implications, with
interviewees reporting challenges securing adequate nutrition and
consistent deficiencies in food provision. The team’s final report offers
CANY a set of recommendations to improve correctional food service
in New York State.",POL,Palak Kaushal,"Anna Bauman
Kefan Li
Isaac McGinn
Jan Mendez
Lingfeng Xu",Public Policy,CAP-GP,3402,"Cities, Social Justice and Democracy, Inequality, Race, and Poverty, Health"
2017,EVERYTOWN FOR GUN SAFETY,LEVERAGING LOCAL LEADERSHIP FOR GUN SAFETY ADVOCACY,"Everytown for Gun Safety is a nonprofit organization that advocates for
gun control and against gun violence. Its Local Government Affairs team
collaborates with the Mayors Against Illegal Guns (MAIG) coalition,
composed of mayors and local officials, and engages them on broader
policy reforms to address gun violence within their communities. The
objective of the Capstone team was to advise Everytown on MAIG
coalition engagement, based on analysis of internal and external coalition-
building best practices, in order to engage local leaders on federally-
focused policy issues. The team conducted research utilizing information
from peer organizations, designed a survey for coalition members and
their teams, and analyzed best practices for engaging local leaders when
local legislative action is limited. The team delivered findings from the
survey and interviews to shape resource recommendations needed to
make MAIG an efficient, helpful hub to mayors across the United States
in their work to expand gun safety legislation.",POL,Elizabeth Angeles,"Amy Bernardez
Lauren Carroll
Isabelle Chandler
Sarah Golden
Georgina Oram
Sijia Ruan",Public Policy,CAP-GP,3402,"Nonprofits and Government, Social Justice and Democracy, Health"
2018,FEDERATION OF PROTESTANT WELFARE AGENCIES,BREAKING BARRIERS: NYC CASH ASSISTANCE ENHANCEMENTS,"The Federation of Protestant Welfare Agencies (FPWA) is an
anti-poverty policy and advocacy organization with a century-long
presence in New York City. As part of its mission of dismantling
impediments to economic security and wellbeing, FPWA engaged
the Capstone team to address systemic barriers to access and
retention in NYC's Cash Assistance program. FPWA tasked the
team with developing recommendations for the NYC Human
Resources Administration (HRA) aimed at improving the Cash
Assistance program, utilizing a People-Centered and Trauma-
Informed (PCTI) framework. The team’s final report documents its
extensive research, including an examination of the current program
design, analysis of public data, and in-depth interviews with Cash
Assistance beneficiaries and advocacy groups. The report also
provides recommendations for improving the administration of
Cash Assistance by streamlining the application and recertification
processes, alleviating administrative burden, leveraging technology,
and fostering a culture of mutual respect.",POL,Palak Kaushal,"Reuben Forman
Olivia Tong
Michael Vizzi
Harper Wang",Public Policy,CAP-GP,3402,"Social Justice and Democracy, Philanthropy and Fundraising, Nonprofits and Government"
2019,NEW YORK CITY DEPARTMENT OF CORRECTION,CLASSIFICATION SYSTEM EVALUATION,"The New York City Department of Correction (NYCDOC) oversees
persons in custody (PICs) awaiting trial or serving sentences of one
year or less. NYCDOC engaged the Capstone team to recommend
optimal systems for the assessment and classification of PICs.
The team focused on assessing and communicating current best
practices considered critical to both security and rehabilitation,
informing operations at NYCDOC facilities. Ideally, an amended
system would holistically capture the security, medical and mental
health, and programming needs of PICs. The team’s methodology
consisted of an extensive literature review regarding current
classification practices, detailing best practices and available tools
for risk and needs assessment. To capture the current processes,
constraints, and state of affairs in the NYCDOC, the team
conducted staff interviews and analyzed policies, procedures, and
data. Recommendations focused on the current system, the ideal
system, and the path between the two, paying particular attention to
implementation feasibility.",POL,Karin Sommer,"Amber Bonds
Danielle Casale
Kai Kang
Kevin Tham",Public Policy,CAP-GP,3402,"Social Justice and Democracy, Inequality, Race, and Poverty, Nonprofits and Government"
2020,NEW YORK LEAGUE OF CONSERVATION VOTERS,"NAVIGATING NYC LOCAL LAW 97: INSIGHTS FROM CO-OPERATIVE
BUILDING OWNERS","Enacted in 2019, New York City’s Local Law 97 (LL97) requires
buildings containing over 25,000 square feet to reduce emissions by
40 percent by 2030. The New York League of Conservation Voters
enlisted the Capstone team to examine building owners’ strategies
to meet LL97’s ambitious emissions targets and make policy change
recommendations that would support building owners in achieving
compliance. Using building owner surveys, stakeholder interviews,
and site tours of buildings, the team produced six case studies of
co-op owners and their experiences meeting LL97’s requirements.
The team also performed a literature review on building emissions
policies similar to LL97, as well as interviews with government
agencies, contractors, and other stakeholders involved in reducing
building emissions. The team’s report offers recommendations that
New York City and State lawmakers can use to support owners in
complying with LL97 ahead of the legislation’s upcoming deadlines",POL,Karin Sommer,"Meg Chu
Shannon Flores
Winnie Marion
Nick Trokel",Public Policy,CAP-GP,3402,"Data Science and Data Management, Environment, Climate Change, and Sustainability, Nonprofits and Government, Cities, Program Evaluation"
2021,NYC311,DEVELOPING A 10-YEAR ROADMAP TO ADAPT TO CHANGING NEEDS,"NYC311 is the non-emergency call center for quick, easy access to
all New York City government services and information. NYC311
engaged the Capstone team to gather insights regarding the City's
future in order to help the call center adapt to the changing needs
of New Yorkers and chart a roadmap for the next ten years. The
Capstone team performed an in-depth literature review, conducted
multiple interviews with experts and leaders at City agencies
and nonprofits, and facilitated two focus groups with young New
Yorkers to hear about their experiences engaging with NYC311.
Additionally, the team undertook innovative scenario planning
exercises to understand the future challenges and opportunities
facing the city, including advancements to technology, the effects of
climate change, demographic changes, and City budget constraints.
The Capstone team provided NYC311 with an expanded Standard
Operating Procedure and a 10-Year Roadmap containing concrete
recommendations and curated insights to support NYC311’s
strategic planning",POL,"Alexander
Shermansong","Annabel Gregg
Angélica Pagán Vega
Aman Patel
Haorun Qi
Alex Roth",Public Policy,CAP-GP,3402,"Nonprofits and Government, Cities, Program Evaluation"
2022,RETHINK FOOD,"IMPROVING FOOD SERVICE FOR ASYLUM SEEKERS BEING HOUSED IN NYC
SHELTERS","Rethink Food is a New York-based nonprofit that works with local
restaurants on a variety of programs to create a more sustainable and
equitable food system. In early 2023, Rethink Food entered a contract
with New York City to partner with local restaurants to provide
meals to asylum seekers being housed in temporary shelters. Rethink
Food enlisted the Capstone team to evaluate its evolving emergency
food service response program and offer recommendations to help
the program meet its goals of providing high-quality, culturally
sensitive meals to New York’s newest residents. As part of its
program evaluation, the team visited multiple shelter sites and
kitchens and conducted dozens of interviews with Rethink Food staff,
restaurant partners, board members, industry experts, and asylum
seekers. The team produced a report for Rethink Food and delivered
a presentation to the organization’s entire staff, sharing findings and
offering recommendations for the future.",POL,Karin Sommer,"Dereck Deblois
Georgia Hillel
Ben Hitchcock
Yifang Yuan",Public Policy,CAP-GP,3402,"Nonprofits and Government, Health, Social Justice and Democracy, Inequality, Race, and Poverty, International Development"
2023,TRENTON POLICE DEPARTMENT,"RECOMMENDATIONS FOR A “ONE-STOP SHOP” RECOVERY COMMUNITY
CENTER","The Trenton, New Jersey Police Department has partnered with
addiction and recovery specialists to pursue alternative paths to
treatment and recovery for community members with substance
use disorders. Connecting people in need to crucial services and
resources presents significant challenges, and many in the local
recovery services community recommend a “one-stop shop”
recovery community center. The Trenton Police Department enlisted
a Capstone team to research successful models and best practices
for such a center. The team made multiple site visits in Trenton,
conducted a literature review, interviewed local stakeholders, and
administered a survey on the City’s existing service landscape. The
team developed a final report that leveraged key findings to provide
recommendations for establishing a recovery community center in
Trenton",POL,"Alexander
Shermansong","Siobhan Brennan
Sirada Chansiri
Chelsea Eakin
Michael Kriesberg
Keke Tang",Public Policy,CAP-GP,3402,"Health, Nonprofits and Government, Cities"
2024,ANTI-RECIDIVISM COALITION,BUILDING ON CALIFORNIA CRIMINAL JUSTICE REFORM VICTORIES,"The Anti-Recidivism Coalition works to end mass incarceration
in California and ensure that communities are safe, healthy, and
whole. The Coalition engaged the Capstone team to determine the
impact of legislation it helped pass: California Senate Bills 260 and
261 and Assembly Bill 1308, which expanded access to parole for
people whose incarceration began when they were young. The team
sought to investigate the notion of adolescence as a mitigating
factor in criminal justice. The team’s report analyzes California’s
groundbreaking youth parole program, which entitles people who
were sentenced as youths to parole hearings that emphasize the
extended timeline of brain development. Through scholarly research,
surveys, and interviews with formerly incarcerated people, alongside
analyses of community health and safety data, the team assessed
the legislation’s effects in California and its potential for expansion
nationally. The team’s final report will serve as a foundational tool for
the Anti-Recidivism Coalition’s future advocacy projects.",POL,Kalima Johnson,"Leigh Conner
Dimiana
Habtemariam
Isaiah Mendoza
Lareina Wang
Alex Yurcaba",Advocacy and Political Action,CAP-GP,3402,"Data Science and Data Management, Social Justice and Democracy, Cities, Health, Nonprofits and Government"
2025,CENTER FOR SURVIVOR AGENCY AND JUSTICE,"UNDERSTANDING THE LANDSCAPE OF MODERN SURVIVOR-CENTERED
ECONOMIC ADVOCACY","The Center for Survivor Agency and Justice (CSAJ) is a nationwide
organization dedicated to addressing the intersection of poverty
and gender-based violence. In 2012, CSAJ launched a National
Needs Assessment to understand the landscape of consumer rights
advocacy for survivors of domestic violence. CSAJ contracted the
Capstone team to support the development of its 2024 Needs & DEI
Assessment, reflecting the changes and challenges that have emerged
in the economic advocacy field since 2012, with the goal of enriching
CSAJ’s understanding of its audience, economic and consumer issues,
and practices within survivor-centered economic advocacy. The team
supported CSAJ staff with survey development and created a DEI audit
and plan for survey outreach and communications. The team’s report
includes a three-pronged analysis of survey results and highlights the
critical needs of survivors and advocates, outlining recommendations
to address capacity concerns, reach underrepresented groups, and
support the field of survivor-centered economic advocacy.",POL,Elizabeth Angeles,"Miranda Alfano-Smith
Carolyn Cabrera
Tavana Farzaneh
Ana Rita Matias
Ramos
Mickayla McCann",Advocacy and Political Action,CAP-GP,3402,"Program Evaluation, Inequality, Race, and Poverty, Health, Nonprofits and Government"
2026,OHIO ALLIANCE TO END SEXUAL VIOLENCE,EMPOWERING ACTION: A MEMBER-DRIVEN PLAN FOR POLICY ADVOCACY,"As the federally-designated sexual violence coalition for the state of
Ohio, the Ohio Alliance to End Sexual Violence (OAESV) advocates
for comprehensive responses and rape crisis services for survivors
and empowers communities to prevent sexual violence. OAESV
engaged the Capstone team to develop an implementation plan
outlining how to strengthen and expand the client’s membership
program. The team interviewed essential volunteers to create
a direct network analysis and compiled a report outlining best
practices in the field. The team’s findings illuminated three main
opportunities, to: 1) promote membership growth in OAESV’s
policy programming division, 2) enhance member engagement and
mobilization, and 3) build coalitions to advocate for policy changes
at the local and state levels. The team designed a comprehensive
toolkit featuring a case study and recommendations, with specific
tactics and methods highlighted for key recommendations.",POL,Kalima Johnson,"Amelia Cecchetto
Nora Howe
Teresa Shyr
Lauren Souza
Libby Wellington",Advocacy and Political Action,CAP-GP,3402,"Inequality, Race, and Poverty, Health, Program Evaluation, Nonprofits and Government"
2027,UNITED WE DREAM,"A GUIDEBOOK FOR IMPLEMENTING NON-CITIZEN VOTING RIGHTS
NATIONWIDE","United We Dream is a nonprofit organization that advocates for
the rights of immigrants and underrepresented citizens. The
organization has been a champion for non-citizens, whose lack
of voting rights excludes them from the democratic processes
that shape their lives. United We Dream contracted the Capstone
team to identify a pathway to legalize non-citizen voting rights
in Maryland and Texas. The team created a guidebook including
political landscape research on the state of voting rights for
non-citizens in designated states, a resource guide of local
organizations providing legal and community advocacy resources,
survey material, and interviews with experts in the field. The team
provided recommendations to the client on how its leadership
can mobilize and activate non-citizens on gaining voting rights,
starting with Maryland and Texas, with the goal for the guidebook
to be instrumental in instigating similar changes for noncitizens
nationwide.",POL,Elizabeth Angeles,"Melissa Melo
Chantal Serrano
Sehej Sethi
Nick Stella
Tiffany Wang",Advocacy and Political Action,CAP-GP,3402,"Social Justice and Democracy, International Development, Inequality, Race, and Poverty, Nonprofits and Government"
2028,WOMEN'S MARCH,CRAFTING DYNAMIC COMMUNICATIONS FOR CHANGE,"Women's March is a national, intergenerational organization that
builds its base through annual marches, election activism, and
combating misinformation. The organization is committed to
building a base of feminists to end sexism, sexist exploitation, and
oppression. Despite a strong base with over five million supporters,
Women’s March faces the challenge of overcoming political apathy
in American political discourse. Seeking to re-energize its base and
cultivate effective dialogue, Women's March engaged the Capstone
team to refine its communication strategy. The team analyzed email
communications to identify effective messaging associated with
increased donations and engagement. Leveraging these findings,
the team provided recommendations to enhance the client’s
email practices and delivered the client a comprehensive toolkit
emphasizing data-driven narratives that galvanize supporters into
action.",POL,Kalima Johnson,"Gabriel Flores
Natasjah Holtz
Connor Lillis
Frederica Solomon
Paul Wennberg",Advocacy and Political Action,CAP-GP,3402,"Nonprofits and Government, Social Justice and Democracy, Philanthropy and Fundraising, Communication Skills"
2029,CAUSE STRATEGY PARTNERS,"OPTIMIZING IMPACT MEASUREMENT: HOW NONPROFIT BOARD SERVICE
EFFECTS CORPORATE EMPLOYEES","Cause Strategy Partners (CSP) is a certified B-Corporation that
connects diverse networks of talented professionals to nonprofit
board service opportunities. One of CSP’s key initiatives is
BoardLead, an online platform that introduces employees from
corporate and strategic partner networks to nonprofits seeking
board members, and provides training for potential board members.
CSP enlisted a Capstone team to measure and communicate
the impact of nonprofit board service on BoardLead’s corporate
participants. The team conducted a literature review exploring
impact measurement as it pertains to corporate social responsibility
(CSR), volunteering, and nonprofit board service, and a landscape
analysis examining peer experiential leadership training companies,
impact measurement organizations, and resources that CSP could
use to enhance its evaluation practices. These findings informed a
series of qualitative impact interviews with BoardLead alumni and
corporate partners’ CSR teams. The team’s final report includes
recommendations addressing data management, evaluation design,
and impact storytelling.",SI3,Mo Coffey,"Nina Aristy
Ivan Fang
Andrew Garrett
Ashif Hassan","Social Impact, Innovation, and Investment ",CAP-GP,3302,"Social Justice and Democracy, Education, Communication Skills"
